source,source_label,relation,target,target_label
Business_Principles,Business_Conceptual,SUPPORTS,Business_Objectives,Business_Conceptual
Business_Objectives,Business_Conceptual,SUPPORTED_BY,Business_Principles,Business_Conceptual
Business_Objectives,Business_Conceptual,SUPERSEDES,Business_Objectives,Business_Conceptual
Business_Objectives,Business_Conceptual,SUPERSEDED_BY,Business_Objectives,Business_Conceptual
Business_Objectives,Business_Conceptual,MOTIVATED_BY,Business_Driver,Business_Conceptual
Business_Driver,Business_Conceptual,MOTIVATES,Business_Objectives,Business_Conceptual
Business_Objectives,Business_Conceptual,SUPPORTED_BY,Business_Capability,Business_Conceptual
Business_Capability,Business_Conceptual,SUPPORTS,Business_Objectives,Business_Conceptual
Business_Capability,Business_Conceptual,SUPERSEDES,Business_Capability,Business_Conceptual
Business_Capability,Business_Conceptual,SUPERSEDED_BY,Business_Capability,Business_Conceptual
Business_Principles,Business_Conceptual,SUPPORTED_BY,Business_Capability,Business_Conceptual
Business_Capability,Business_Conceptual,SUPPORTS,Business_Principles,Business_Conceptual
Business_Capability,Business_Conceptual,REQUIRES,Skill_Type,Business_Conceptual
Skill_Type,Business_Conceptual,REQUIRED_BY,Business_Capability,Business_Conceptual
Business_Capability,Business_Conceptual,BELONGS_TO,Business_Domain,Business_Conceptual
Business_Domain,Business_Conceptual,CONTAINS,Business_Capability,Business_Conceptual
Business_Domain,Business_Conceptual,SUPERSEDES,Business_Domain,Business_Conceptual
Business_Domain,Business_Conceptual,SUPERSEDED_BY,Business_Domain,Business_Conceptual
Business_Domain,Business_Conceptual,STRATEGIC_OBJECTIVES,Business_Objectives,Business_Conceptual
Business_Objectives,Business_Conceptual,OBJECTIVE_FOR_BUSINESS_DOMAINS,Business_Domain,Business_Conceptual
Application_Capability,Application_Conceptual,SUPPORTS,Business_Capability,Business_Conceptual
Business_Capability,Business_Conceptual,SUPPORTED_BY,Application_Capability,Application_Conceptual
Product_Concept,Business_Conceptual,SUPPORTED_BY,Business_Capability,Business_Conceptual
Business_Role_Type,Business_Conceptual,PROVIDES,Business_Capability,Business_Conceptual
External_Business_Role_Type,Business_Conceptual,MEMBERS_OF,Business_Role_Type,Business_Conceptual
External_Business_Role_Type,Business_Conceptual,RAISES,External_Conceptual_Business_Event,Business_Conceptual
External_Conceptual_Business_Event,Business_Conceptual,MEMBERS_OF,Conceptual_Business_Event,Business_Conceptual
Time_Based_Conceptual_Business_Event,Business_Conceptual,MEMBERS_OF,Conceptual_Business_Event,Business_Conceptual
Business_Capability,Business_Conceptual,DEFINED_BY,Business_Capability_Chain,Business_Conceptual
Business_Capability_Chain,Business_Conceptual,DEFINES,Business_Capability,Business_Conceptual
Business_Capability_Chain,Business_Conceptual,USES,Business_Capability_Chain_Type,Business_Conceptual
Business_Capability_Chain_Type,Business_Conceptual,USED_BY,Business_Capability_Chain,Business_Conceptual
Business_Capability_Chain,Business_Conceptual,MEMBERS_OF,Conceptual_Business_Model,Business_Conceptual
Business_Capability_Chain_Type,Business_Conceptual,MEMBERS_OF,Conceptual_Business_Model,Business_Conceptual
Value_Stream,Business_Conceptual,CONTAINS,Value_Stage,Business_Conceptual
Value_Stage,Business_Conceptual,BELONGS_TO,Value_Stream,Business_Conceptual
Value_Stage,Business_Conceptual,SUPERSEDES,Value_Stage,Business_Conceptual
Value_Stage,Business_Conceptual,SUPERSEDED_BY,Value_Stage,Business_Conceptual
Value_Stage,Business_Conceptual,REQUIRES,Business_Capability,Business_Conceptual
Business_Capability,Business_Conceptual,REQUIRED_BY,Value_Stage,Business_Conceptual
Business_Role,Business_Logical,REALIZES,Business_Role_Type,Business_Conceptual
Business_Role_Type,Business_Conceptual,REALIZED_BY,Business_Role,Business_Logical
Business_Role_Type,Business_Conceptual,TRIGGERS,Value_Stream,Business_Conceptual
Business_Role_Type,Business_Conceptual,PARTICIPATES,Value_Stage,Business_Conceptual
Value_Stream,Business_Conceptual,TRIGGERED_BY,Business_Role_Type,Business_Conceptual
Value_Stage,Business_Conceptual,PARTICIPATED_BY,Business_Role_Type,Business_Conceptual
Business_Role,Business_Logical,TRIGGERS,Value_Stream,Business_Conceptual
Business_Role,Business_Logical,PARTICIPATES,Value_Stage,Business_Conceptual
Value_Stream,Business_Conceptual,TRIGGERED_BY,Business_Role,Business_Logical
Value_Stage,Business_Conceptual,PARTICIPATED_BY,Business_Role,Business_Logical
External_Business_Event,Business_Logical,MEMBERS_OF,Business_Event,Business_Logical
Time_Based_Business_Event,Business_Logical,MEMBERS_OF,Business_Event,Business_Logical
Business_Role,Business_Logical,RAISES,External_Business_Event,Business_Logical
External_Business_Event,Business_Logical,RAISED_BY,Business_Role,Business_Logical
External_Conceptual_Business_Event,Business_Conceptual,RAISED_BY,External_Business_Role_Type,Business_Conceptual
Business_Role,Business_Logical,SUPERSEDES,Business_Role,Business_Logical
Business_Role,Business_Logical,SUPERSEDED_BY,Business_Role,Business_Logical
Product_Type,Business_Logical,REALIZES,Product_Concept,Business_Conceptual
Product_Concept,Business_Conceptual,REALIZED_BY,Product_Type,Business_Logical
Product_Type,Business_Logical,SUPPORTS,Value_Stream,Business_Conceptual
Value_Stream,Business_Conceptual,SUPPORTED_BY,Product_Type,Business_Logical
Product_Type,Business_Logical,TYPE_OF,Product,Business_Logical
Product,Business_Logical,INSTANCE_OF,Product_Type,Business_Logical
Value_Stage,Business_Conceptual,SUPPORTED_BY,Business_Process_Type,Business_Logical
Business_Process_Type,Business_Logical,SUPPORTS,Value_Stage,Business_Conceptual
Business_Process_Type,Business_Logical,BELONGS_TO,Business_Process_Family,Business_Logical
Business_Process_Family,Business_Logical,CONTAINS,Business_Process_Type,Business_Logical
Business_Process_Type,Business_Logical,PRODUCES,Product_Type,Business_Logical
Product_Type,Business_Logical,PRODUCED_BY,Business_Process_Type,Business_Logical
Business_Role,Business_Logical,OWNS,Business_Process_Type,Business_Logical
Business_Role,Business_Logical,PERFORMS,Business_Process_Type,Business_Logical
Business_Process_Type,Business_Logical,OWNED_BY,Business_Role,Business_Logical
Business_Process_Type,Business_Logical,PERFORMED_BY,Business_Role,Business_Logical
Business_Role,Business_Logical,OPERATES_AT,Site_Category,Business_Logical
